# 1 time
# 2 Ubal_norm
# 3 Ubal
# 4 Utot
# 5 Uexp
# 6 Ukin
# 7 Urad
# 8 UmBWpairs
# 9 Uelm
# 10 Ukin_bnd
# 11 Ukin_out_mvw
# 12 Ukin_inj_mvw
# 13 Uelm_bnd
# 14 Uelm_out_mvw
# 15 Uelm_inj_mvw
# 16 Dens_solar_electron
# 17 Ntot_solar_electron
# 18 Zavg_solar_electron
# 19 Ukin_solar_electron
# 20 Urad_solar_electron
# 21 Dens_solar_ion
# 22 Ntot_solar_ion
# 23 Zavg_solar_ion
# 24 Ukin_solar_ion
# 25 Urad_solar_ion
# 26 Uelm_Ex
# 27 Uelm_Ey
# 28 Uelm_Ez
# 29 Uelm_Bx_m
# 30 Uelm_By_m
# 31 Uelm_Bz_m
# 32 ExMin
# 33 ExMinCell
# 34 ExMax
# 35 ExMaxCell
# 36 EyMin
# 37 EyMinCell
# 38 EyMax
# 39 EyMaxCell
# 40 EzMin
# 41 EzMinCell
# 42 EzMax
# 43 EzMaxCell
# 44 Bx_mMin
# 45 Bx_mMinCell
# 46 Bx_mMax
# 47 Bx_mMaxCell
# 48 By_mMin
# 49 By_mMinCell
# 50 By_mMax
# 51 By_mMaxCell
# 52 Bz_mMin
# 53 Bz_mMinCell
# 54 Bz_mMax
# 55 Bz_mMaxCell
# 56 JxMin
# 57 JxMinCell
# 58 JxMax
# 59 JxMaxCell
# 60 JyMin
# 61 JyMinCell
# 62 JyMax
# 63 JyMaxCell
# 64 JzMin
# 65 JzMinCell
# 66 JzMax
# 67 JzMaxCell
# 68 RhoMin
# 69 RhoMinCell
# 70 RhoMax
# 71 RhoMaxCell
# 72 PoyXmin
# 73 PoyXminInst
# 74 PoyYmin
# 75 PoyYminInst
# 76 PoyZmin
# 77 PoyZminInst
# 78 PoyXmax
# 79 PoyXmaxInst
# 80 PoyYmax
# 81 PoyYmaxInst
# 82 PoyZmax
# 83 PoyZmaxInst
#
#        time    Ubal_norm         Ubal         Utot         Uexp         Ukin         Urad    UmBWpairs         Uelm     Ukin_bnd  Ukin_out_mvw  Ukin_inj_mvw     Uelm_bnd  Uelm_out_mvw  Uelm_inj_mvw  Dens_solar_electron  Ntot_solar_electron  Zavg_solar_electron  Ukin_solar_electron  Urad_solar_electron  Dens_solar_ion  Ntot_solar_ion  Zavg_solar_ion  Ukin_solar_ion  Urad_solar_ion      Uelm_Ex      Uelm_Ey      Uelm_Ez    Uelm_Bx_m    Uelm_By_m    Uelm_Bz_m        ExMin    ExMinCell        ExMax    ExMaxCell        EyMin    EyMinCell        EyMax    EyMaxCell        EzMin    EzMinCell        EzMax    EzMaxCell      Bx_mMin  Bx_mMinCell      Bx_mMax  Bx_mMaxCell      By_mMin  By_mMinCell      By_mMax  By_mMaxCell      Bz_mMin  Bz_mMinCell      Bz_mMax  Bz_mMaxCell        JxMin    JxMinCell        JxMax    JxMaxCell        JyMin    JyMinCell        JyMax    JyMaxCell        JzMin    JzMinCell        JzMax    JzMaxCell       RhoMin   RhoMinCell       RhoMax   RhoMaxCell      PoyXmin  PoyXminInst      PoyYmin  PoyYminInst      PoyZmin  PoyZminInst      PoyXmax  PoyXmaxInst      PoyYmax  PoyYmaxInst      PoyZmax  PoyZmaxInst
    0.000e+00   -3.251e-06   -1.823e-07    5.608e-02    5.608e-02    2.085e-02    0.000e+00    0.000e+00    3.523e-02    0.000e+00     0.000e+00     0.000e+00    1.823e-07     0.000e+00     0.000e+00            5.479e+01            2.097e+06           -1.000e+00            5.660e-03            0.000e+00       5.479e+01       2.097e+06       1.000e+00       1.519e-02       0.000e+00    1.335e-03    8.416e-04    9.158e-04    3.415e-03    2.788e-02    8.431e-04   -8.880e-01      1019280    8.398e-01      1030614   -8.753e-01      1025381    9.053e-01      1027756   -8.941e-01      1015956    9.490e-01      1017272   -3.337e+00         7487    3.337e+00         8767   -3.659e+00         8127    1.013e+00         6463   -1.084e+00         7365    1.084e+00         7353   -3.395e+00      1018231    3.134e+00      1020804   -3.383e+00      1024265    3.182e+00      1016905   -3.050e+00      1022032    3.145e+00      1017356   -3.735e+02      1024718    3.110e+02      1030695   -2.171e-05   -2.171e-05   -3.631e-07   -3.631e-07    3.031e-05    3.031e-05    2.209e-05   -2.209e-05   -3.394e-07    3.394e-07   -2.981e-05    2.981e-05
    5.356e-02   -4.062e-03   -2.265e-04    5.576e-02    5.599e-02    2.251e-02    0.000e+00    0.000e+00    3.325e-02    5.855e-05     0.000e+00     1.900e-04   -2.200e-04     0.000e+00     0.000e+00            5.483e+01            2.099e+06           -1.000e+00            7.226e-03            0.000e+00       5.524e+01       2.114e+06       1.000e+00       1.528e-02       0.000e+00    6.768e-04    2.631e-04    3.305e-04    3.218e-03    2.789e-02    8.736e-04   -4.202e-01      1034082    3.392e-01      1038022   -4.186e-01      1034773    5.230e-01      1024718   -4.163e-01      1039267    4.201e-01      1028179   -2.910e+00         7487    3.211e+00         8895   -3.692e+00         8127    1.076e+00         9663   -1.140e+00         8889    1.181e+00         8901   -2.392e+01      1019280    2.257e+01      1030614   -2.134e+01      1026395    1.970e+01      1031067   -2.076e+01      1031859    2.807e+01      1030696   -1.628e+02      1024718    1.871e+02      1038259   -3.349e-04   -2.736e-05   -8.934e-06   -1.332e-06    2.346e-04    1.538e-05    1.186e-04   -5.008e-07   -1.120e-05    1.104e-06   -2.182e-04    1.377e-05
    1.071e-01   -3.330e-03   -1.855e-04    5.570e-02    5.588e-02    2.233e-02    0.000e+00    0.000e+00    3.337e-02    1.248e-04     0.000e+00     3.802e-04   -4.514e-04     0.000e+00     0.000e+00            5.487e+01            2.100e+06           -1.000e+00            6.841e-03            0.000e+00       5.569e+01       2.132e+06       1.000e+00       1.549e-02       0.000e+00    7.981e-04    3.451e-04    3.995e-04    3.140e-03    2.780e-02    8.796e-04   -5.467e-01      1020577    6.246e-01      1019280   -5.739e-01      1031067    6.000e-01      1022322   -7.884e-01      1030696    6.083e-01      1017744   -3.036e+00         7487    3.162e+00         8895   -3.656e+00         8127    1.102e+00         9663   -1.090e+00         7365    1.165e+00         8901   -1.759e+01      1034082    1.444e+01      1030614   -1.266e+01      1019533    1.663e+01      1024718   -1.437e+01      1018369    1.405e+01      1016578   -2.269e+02      1030695    1.960e+02      1017096   -5.007e-04   -1.243e-05   -2.068e-05   -1.179e-06    3.618e-04    1.229e-05    8.923e-05    3.063e-06   -2.261e-05    1.081e-06   -3.584e-04    1.357e-05
    1.607e-01   -3.564e-03   -1.984e-04    5.566e-02    5.586e-02    2.242e-02    0.000e+00    0.000e+00    3.324e-02    1.879e-04     0.000e+00     5.695e-04   -6.019e-04     0.000e+00     0.000e+00            5.492e+01            2.102e+06           -1.000e+00            6.824e-03            0.000e+00       5.613e+01       2.149e+06       1.000e+00       1.560e-02       0.000e+00    7.152e-04    3.684e-04    4.096e-04    3.152e-03    2.771e-02    8.819e-04   -4.158e-01      1019370    5.605e-01      1019280   -7.174e-01      1024718    5.600e-01      1028695   -5.386e-01      1030034    5.846e-01      1017744   -3.041e+00         7487    3.176e+00         8895   -3.659e+00         8127    1.070e+00         9663   -1.097e+00         7365    1.157e+00         8901   -1.719e+01      1036902    1.466e+01      1030789   -1.660e+01      1023539    1.689e+01      1027593   -2.065e+01      1030696    1.792e+01      1016971   -2.043e+02      1023561    2.743e+02      1024718   -6.094e-04   -8.275e-06   -3.213e-05   -1.054e-06    4.860e-04    1.187e-05    7.733e-05    6.939e-07   -3.293e-05    1.024e-06   -4.907e-04    1.342e-05
    2.143e-01   -2.769e-03   -1.543e-04    5.571e-02    5.587e-02    2.243e-02    0.000e+00    0.000e+00    3.328e-02    2.413e-04     0.000e+00     7.580e-04   -7.281e-04     0.000e+00     0.000e+00            5.502e+01            2.106e+06           -1.000e+00            6.762e-03            0.000e+00       5.658e+01       2.166e+06       1.000e+00       1.567e-02       0.000e+00    7.867e-04    3.929e-04    4.170e-04    3.172e-03    2.763e-02    8.836e-04   -5.502e-01      1046156    5.568e-01      1040263   -6.960e-01      1027593    5.788e-01      1031561   -5.455e-01      1016853    6.556e-01      1023880   -3.038e+00         7487    3.179e+00         8895   -3.664e+00         8127    1.071e+00         9663   -1.099e+00         7365    1.160e+00         8901   -1.305e+01      1028874    1.601e+01      1045581   -1.400e+01      1031948    1.363e+01      1017734   -1.468e+01      1015954    1.482e+01      1017744   -2.156e+02      1026392    2.470e+02      1021344   -7.020e-04   -8.083e-06   -4.199e-05   -8.785e-07    6.078e-04    1.160e-05    6.511e-05    4.630e-07   -4.231e-05    8.876e-07   -6.146e-04    1.178e-05
    2.678e-01   -3.814e-03   -2.124e-04    5.569e-02    5.590e-02    2.271e-02    0.000e+00    0.000e+00    3.299e-02    2.957e-04     0.000e+00     9.469e-04   -8.239e-04     0.000e+00     0.000e+00            5.511e+01            2.110e+06           -1.000e+00            6.834e-03            0.000e+00       5.702e+01       2.183e+06       1.000e+00       1.587e-02       0.000e+00    7.123e-04    3.085e-04    3.293e-04    3.187e-03    2.757e-02    8.849e-04   -4.955e-01      1045581    4.904e-01      1025456   -5.175e-01      1018120    5.812e-01      1017487   -5.393e-01      1017744    5.952e-01      1026028   -3.037e+00         7487    3.179e+00         8895   -3.666e+00         8127    1.074e+00         9663   -1.099e+00         7365    1.161e+00         8901   -1.489e+01      1039924    1.434e+01      1036278   -2.044e+01      1028741    1.738e+01      1017003   -1.898e+01      1016971    1.704e+01      1024818   -1.704e+02      1020962    2.439e+02      1015997   -7.905e-04   -8.539e-06   -5.031e-05   -7.772e-07    7.214e-04    1.100e-05    6.678e-05    1.510e-08   -5.027e-05    7.458e-07   -7.210e-04    1.013e-05
    3.214e-01   -2.577e-03   -1.438e-04    5.578e-02    5.592e-02    2.264e-02    0.000e+00    0.000e+00    3.314e-02    3.643e-04     0.000e+00     1.138e-03   -9.261e-04     0.000e+00     0.000e+00            5.514e+01            2.111e+06           -1.000e+00            6.622e-03            0.000e+00       5.747e+01       2.200e+06       1.000e+00       1.601e-02       0.000e+00    7.967e-04    3.698e-04    3.853e-04    3.196e-03    2.751e-02    8.885e-04   -5.028e-01      1009206    5.679e-01      1039924   -6.064e-01      1029102    6.219e-01      1024718   -5.837e-01      1020065    6.129e-01      1016971   -3.036e+00         7487    3.180e+00         8895   -3.666e+00         8127    1.074e+00         9663   -1.099e+00         7365    1.161e+00         8901   -1.528e+01      1039013    1.298e+01      1029909   -1.401e+01      1026532    1.830e+01      1017487   -1.343e+01      1024249    1.574e+01      1020167   -2.266e+02      1030566    2.955e+02      1028992   -8.756e-04   -8.676e-06   -5.752e-05   -6.920e-07    8.294e-04    1.085e-05    5.563e-05    1.527e-06   -5.712e-05    6.470e-07   -8.208e-04    9.945e-06
    3.749e-01   -3.140e-03   -1.752e-04    5.578e-02    5.596e-02    2.286e-02    0.000e+00    0.000e+00    3.292e-02    4.246e-04     0.000e+00     1.327e-03   -1.020e-03     0.000e+00     0.000e+00            5.521e+01            2.113e+06           -1.000e+00            6.778e-03            0.000e+00       5.791e+01       2.217e+06       1.000e+00       1.609e-02       0.000e+00    6.731e-04    3.546e-04    3.591e-04    3.202e-03    2.744e-02    8.886e-04   -4.903e-01      1035754    5.091e-01      1021344   -5.481e-01      1030189    6.372e-01      1027593   -5.318e-01      1020167    5.603e-01      1016853   -3.036e+00         7487    3.180e+00         8895   -3.666e+00         8127    1.074e+00         9663   -1.099e+00         7365    1.161e+00         8901   -1.185e+01      1025666    1.535e+01      1039924   -1.636e+01      1020320    1.560e+01      1028742   -1.746e+01      1018321    1.932e+01      1016971   -2.073e+02      1019370    3.412e+02      1028992   -9.569e-04   -8.339e-06   -6.393e-05   -6.089e-07    9.347e-04    1.046e-05    4.927e-05    1.744e-08   -6.338e-05    5.829e-07   -9.201e-04    9.524e-06
    4.285e-01   -3.185e-03   -1.778e-04    5.584e-02    5.602e-02    2.300e-02    0.000e+00    0.000e+00    3.284e-02    4.834e-04     0.000e+00     1.518e-03   -1.096e-03     0.000e+00     0.000e+00            5.530e+01            2.117e+06           -1.000e+00            6.725e-03            0.000e+00       5.836e+01       2.234e+06       1.000e+00       1.627e-02       0.000e+00    6.080e-04    3.597e-04    3.796e-04    3.207e-03    2.739e-02    8.912e-04   -5.545e-01      1024944    4.628e-01      1028524   -5.926e-01      1017887    5.898e-01      1020320   -6.866e-01      1018061    6.140e-01      1018321   -3.036e+00         7487    3.180e+00         8895   -3.665e+00         8127    1.074e+00         9663   -1.099e+00         7365    1.161e+00         8901   -1.439e+01      1029319    1.355e+01      1016396   -1.463e+01      1021261    1.530e+01      1031922   -1.497e+01      1016131    1.883e+01      1017617   -2.265e+02      1018060    3.612e+02      1028992   -1.034e-03   -7.664e-06   -6.936e-05   -4.983e-07    1.035e-03    9.848e-06    4.942e-05    2.767e-07   -6.862e-05    4.743e-07   -1.008e-03    8.062e-06
    4.821e-01   -3.799e-03   -2.123e-04    5.587e-02    5.608e-02    2.329e-02    0.000e+00    0.000e+00    3.257e-02    5.439e-04     0.000e+00     1.709e-03   -1.161e-03     0.000e+00     0.000e+00            5.538e+01            2.120e+06           -1.000e+00            6.860e-03            0.000e+00       5.880e+01       2.251e+06       1.000e+00       1.643e-02       0.000e+00    4.647e-04    3.210e-04    3.314e-04    3.211e-03    2.736e-02    8.914e-04   -4.348e-01      1039924    5.427e-01      1028937   -5.316e-01      1027522    5.022e-01      1029102   -6.159e-01      1017617    5.626e-01      1027053   -3.036e+00         7487    3.180e+00         8895   -3.665e+00         8127    1.074e+00         9663   -1.098e+00         7365    1.161e+00         8901   -1.584e+01      1026652    1.391e+01      1017295   -1.610e+01      1030018    1.562e+01      1021510   -1.669e+01      1018726    1.624e+01      1026795   -1.813e+02      1019133    3.802e+02      1034082   -1.105e-03   -6.881e-06   -7.399e-05   -4.642e-07    1.133e-03    9.858e-06    4.308e-05    9.736e-07   -7.308e-05    4.424e-07   -1.085e-03    7.613e-06
