

--- Timestep = 0 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 5.153e+00	 5.153e+00	 5.153e+00	 0.000e+00
       Maxwell	 4.484e+00	 4.484e+00	 4.484e+00	 0.000e+00
   Diagnostics	 1.705e+01	 1.705e+01	 1.705e+01	 0.000e+00
     Densities	 1.470e+00	 1.470e+00	 1.470e+00	 0.000e+00
    Collisions	 4.953e+00	 4.953e+00	 4.953e+00	 0.000e+00
    Mov window	 1.287e+00	 1.287e+00	 1.287e+00	 0.000e+00
Sync Particles	 4.456e+01	 4.456e+01	 4.456e+01	 0.000e+00
   Sync Fields	 1.372e+01	 1.372e+01	 1.372e+01	 0.000e+00
Sync Densities	 1.660e+01	 1.660e+01	 1.660e+01	 0.000e+00
  Part Merging	 2.544e+00	 2.544e+00	 2.544e+00	 0.000e+00
Part Injection	 8.377e+00	 8.377e+00	 8.377e+00	 0.000e+00


--- Timestep = 1 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.331e+01	 1.331e+01	 1.331e+01	 0.000e+00
       Maxwell	 9.860e+00	 9.860e+00	 9.860e+00	 0.000e+00
   Diagnostics	 3.798e+01	 3.798e+01	 3.798e+01	 0.000e+00
     Densities	 3.211e+00	 3.211e+00	 3.211e+00	 0.000e+00
    Collisions	 1.124e+01	 1.124e+01	 1.124e+01	 0.000e+00
    Mov window	 2.878e+00	 2.878e+00	 2.878e+00	 0.000e+00
Sync Particles	 9.920e+01	 9.920e+01	 9.920e+01	 0.000e+00
   Sync Fields	 3.082e+01	 3.082e+01	 3.082e+01	 0.000e+00
Sync Densities	 3.650e+01	 3.650e+01	 3.650e+01	 0.000e+00
  Part Merging	 5.748e+00	 5.748e+00	 5.748e+00	 0.000e+00
Part Injection	 1.707e+01	 1.707e+01	 1.707e+01	 0.000e+00


--- Timestep = 2 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.199e+01	 2.199e+01	 2.199e+01	 0.000e+00
       Maxwell	 1.537e+01	 1.537e+01	 1.537e+01	 0.000e+00
   Diagnostics	 5.900e+01	 5.900e+01	 5.900e+01	 0.000e+00
     Densities	 4.963e+00	 4.963e+00	 4.963e+00	 0.000e+00
    Collisions	 1.749e+01	 1.749e+01	 1.749e+01	 0.000e+00
    Mov window	 4.464e+00	 4.464e+00	 4.464e+00	 0.000e+00
Sync Particles	 1.544e+02	 1.544e+02	 1.544e+02	 0.000e+00
   Sync Fields	 4.810e+01	 4.810e+01	 4.810e+01	 0.000e+00
Sync Densities	 5.637e+01	 5.637e+01	 5.637e+01	 0.000e+00
  Part Merging	 8.972e+00	 8.972e+00	 8.972e+00	 0.000e+00
Part Injection	 2.588e+01	 2.588e+01	 2.588e+01	 0.000e+00


--- Timestep = 3 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.951e+01	 2.951e+01	 2.951e+01	 0.000e+00
       Maxwell	 2.076e+01	 2.076e+01	 2.076e+01	 0.000e+00
