

--- Timestep = 0 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Densities	 3.371e+00	 3.371e+00	 3.371e+00	 0.000e+00
    Collisions	 7.199e+00	 7.199e+00	 7.199e+00	 0.000e+00
    Mov window	 1.980e+00	 1.980e+00	 1.980e+00	 0.000e+00
Sync Particles	 1.182e+02	 1.182e+02	 1.182e+02	 0.000e+00
   Sync Fields	 4.795e+01	 4.795e+01	 4.795e+01	 0.000e+00
Sync Densities	 5.479e+01	 5.479e+01	 5.479e+01	 0.000e+00
  Part Merging	 3.604e+00	 3.604e+00	 3.604e+00	 0.000e+00
Part Injection	 3.285e+01	 3.285e+01	 3.285e+01	 0.000e+00


--- Timestep = 5 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 8.653e+01	 8.653e+01	 8.653e+01	 0.000e+00
       Maxwell	 6.529e+01	 6.529e+01	 6.529e+01	 0.000e+00
   Diagnostics	 5.650e+01	 5.650e+01	 5.650e+01	 0.000e+00
     Densities	 4.147e+00	 4.147e+00	 4.147e+00	 0.000e+00
    Collisions	 9.214e+00	 9.214e+00	 9.214e+00	 0.000e+00
    Mov window	 2.505e+00	 2.505e+00	 2.505e+00	 0.000e+00
Sync Particles	 1.491e+02	 1.491e+02	 1.491e+02	 0.000e+00
   Sync Fields	 5.859e+01	 5.859e+01	 5.859e+01	 0.000e+00
Sync Densities	 6.705e+01	 6.705e+01	 6.705e+01	 0.000e+00
  Part Merging	 4.605e+00	 4.605e+00	 4.605e+00	 0.000e+00
Part Injection	 4.000e+01	 4.000e+01	 4.000e+01	 0.000e+00


--- Timestep = 6 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 9.537e+01	 9.537e+01	 9.537e+01	 0.000e+00
       Maxwell	 7.534e+01	 7.534e+01	 7.534e+01	 0.000e+00
   Diagnostics	 6.754e+01	 6.754e+01	 6.754e+01	 0.000e+00
     Densities	 4.942e+00	 4.942e+00	 4.942e+00	 0.000e+00
    Collisions	 1.191e+01	 1.191e+01	 1.191e+01	 0.000e+00
    Mov window	 3.162e+00	 3.162e+00	 3.162e+00	 0.000e+00
Sync Particles	 1.859e+02	 1.859e+02	 1.859e+02	 0.000e+00
   Sync Fields	 6.976e+01	 6.976e+01	 6.976e+01	 0.000e+00
Sync Densities	 7.976e+01	 7.976e+01	 7.976e+01	 0.000e+00
  Part Merging	 5.937e+00	 5.937e+00	 5.937e+00	 0.000e+00
Part Injection	 4.689e+01	 4.689e+01	 4.689e+01	 0.000e+00


--- Timestep = 7 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.035e+02	 1.035e+02	 1.035e+02	 0.000e+00
       Maxwell	 8.541e+01	 8.541e+01	 8.541e+01	 0.000e+00
   Diagnostics	 7.851e+01	 7.851e+01	 7.851e+01	 0.000e+00
     Densities	 5.875e+00	 5.875e+00	 5.875e+00	 0.000e+00
    Collisions	 1.459e+01	 1.459e+01	 1.459e+01	 0.000e+00
    Mov window	 3.819e+00	 3.819e+00	 3.819e+00	 0.000e+00
Sync Particles	 2.225e+02	 2.225e+02	 2.225e+02	 0.000e+00
   Sync Fields	 8.077e+01	 8.077e+01	 8.077e+01	 0.000e+00
Sync Densities	 9.261e+01	 9.261e+01	 9.261e+01	 0.000e+00
  Part Merging	 7.267e+00	 7.267e+00	 7.267e+00	 0.000e+00
Part Injection	 5.377e+01	 5.377e+01	 5.377e+01	 0.000e+00


--- Timestep = 8 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.111e+02	 1.111e+02	 1.111e+02	 0.000e+00
       Maxwell	 9.547e+01	 9.547e+01	 9.547e+01	 0.000e+00
   Diagnostics	 8.979e+01	 8.979e+01	 8.979e+01	 0.000e+00
     Densities	 6.665e+00	 6.665e+00	 6.665e+00	 0.000e+00
    Collisions	 1.730e+01	 1.730e+01	 1.730e+01	 0.000e+00
    Mov window	 4.479e+00	 4.479e+00	 4.479e+00	 0.000e+00
Sync Particles	 2.593e+02	 2.593e+02	 2.593e+02	 0.000e+00
   Sync Fields	 9.181e+01	 9.181e+01	 9.181e+01	 0.000e+00
Sync Densities	 1.053e+02	 1.053e+02	 1.053e+02	 0.000e+00
  Part Merging	 8.600e+00	 8.600e+00	 8.600e+00	 0.000e+00
Part Injection	 6.067e+01	 6.067e+01	 6.067e+01	 0.000e+00


--- Timestep = 9 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.181e+02	 1.181e+02	 1.181e+02	 0.000e+00
       Maxwell	 1.055e+02	 1.055e+02	 1.055e+02	 0.000e+00
   Diagnostics	 1.010e+02	 1.010e+02	 1.010e+02	 0.000e+00
     Densities	 7.422e+00	 7.422e+00	 7.422e+00	 0.000e+00
    Collisions	 2.000e+01	 2.000e+01	 2.000e+01	 0.000e+00
    Mov window	 5.137e+00	 5.137e+00	 5.137e+00	 0.000e+00
Sync Particles	 2.960e+02	 2.960e+02	 2.960e+02	 0.000e+00
   Sync Fields	 1.029e+02	 1.029e+02	 1.029e+02	 0.000e+00
Sync Densities	 1.178e+02	 1.178e+02	 1.178e+02	 0.000e+00
  Part Merging	 9.934e+00	 9.934e+00	 9.934e+00	 0.000e+00
Part Injection	 6.756e+01	 6.756e+01	 6.756e+01	 0.000e+00


--- Timestep = 9 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.181e+02	 1.181e+02	 1.181e+02	 0.000e+00
       Maxwell	 1.055e+02	 1.055e+02	 1.055e+02	 0.000e+00
   Diagnostics	 1.010e+02	 1.010e+02	 1.010e+02	 0.000e+00
     Densities	 7.423e+00	 7.423e+00	 7.423e+00	 0.000e+00
    Collisions	 2.000e+01	 2.000e+01	 2.000e+01	 0.000e+00
    Mov window	 5.137e+00	 5.137e+00	 5.137e+00	 0.000e+00
Sync Particles	 2.960e+02	 2.960e+02	 2.960e+02	 0.000e+00
   Sync Fields	 1.029e+02	 1.029e+02	 1.029e+02	 0.000e+00
Sync Densities	 1.178e+02	 1.178e+02	 1.178e+02	 0.000e+00
  Part Merging	 9.934e+00	 9.934e+00	 9.934e+00	 0.000e+00
Part Injection	 6.756e+01	 6.756e+01	 6.756e+01	 0.000e+00
