

--- Timestep = 0 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 5.441e+00	 5.441e+00	 5.441e+00	 0.000e+00
       Maxwell	 1.130e+01	 1.130e+01	 1.130e+01	 0.000e+00
   Diagnostics	 9.020e+00	 9.020e+00	 9.020e+00	 0.000e+00
     Densities	 5.096e-01	 5.096e-01	 5.096e-01	 0.000e+00
    Collisions	 1.446e+00	 1.446e+00	 1.446e+00	 0.000e+00
    Mov window	 4.068e-01	 4.068e-01	 4.068e-01	 0.000e+00
Sync Particles	 2.267e+01	 2.267e+01	 2.267e+01	 0.000e+00
   Sync Fields	 9.477e+00	 9.477e+00	 9.477e+00	 0.000e+00
Sync Densities	 9.348e+00	 9.348e+00	 9.348e+00	 0.000e+00
  Part Merging	 7.232e-01	 7.232e-01	 7.232e-01	 0.000e+00
Part Injection	 6.534e+00	 6.534e+00	 6.534e+00	 0.000e+00


--- Timestep = 1 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.543e+01	 1.543e+01	 1.543e+01	 0.000e+00
       Maxwell	 2.216e+01	 2.216e+01	 2.216e+01	 0.000e+00
   Diagnostics	 1.837e+01	 1.837e+01	 1.837e+01	 0.000e+00
     Densities	 1.169e+00	 1.169e+00	 1.169e+00	 0.000e+00
    Collisions	 2.920e+00	 2.920e+00	 2.920e+00	 0.000e+00
    Mov window	 8.115e-01	 8.115e-01	 8.115e-01	 0.000e+00
Sync Particles	 4.665e+01	 4.665e+01	 4.665e+01	 0.000e+00
   Sync Fields	 1.921e+01	 1.921e+01	 1.921e+01	 0.000e+00
Sync Densities	 2.027e+01	 2.027e+01	 2.027e+01	 0.000e+00
  Part Merging	 1.452e+00	 1.452e+00	 1.452e+00	 0.000e+00
Part Injection	 1.314e+01	 1.314e+01	 1.314e+01	 0.000e+00


--- Timestep = 2 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.735e+01	 2.735e+01	 2.735e+01	 0.000e+00
       Maxwell	 3.285e+01	 3.285e+01	 3.285e+01	 0.000e+00
   Diagnostics	 2.774e+01	 2.774e+01	 2.774e+01	 0.000e+00
     Densities	 1.913e+00	 1.913e+00	 1.913e+00	 0.000e+00
    Collisions	 4.373e+00	 4.373e+00	 4.373e+00	 0.000e+00
    Mov window	 1.210e+00	 1.210e+00	 1.210e+00	 0.000e+00
Sync Particles	 7.088e+01	 7.088e+01	 7.088e+01	 0.000e+00
   Sync Fields	 2.892e+01	 2.892e+01	 2.892e+01	 0.000e+00
Sync Densities	 3.176e+01	 3.176e+01	 3.176e+01	 0.000e+00
  Part Merging	 2.177e+00	 2.177e+00	 2.177e+00	 0.000e+00
Part Injection	 1.972e+01	 1.972e+01	 1.972e+01	 0.000e+00


--- Timestep = 3 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 3.976e+01	 3.976e+01	 3.976e+01	 0.000e+00
       Maxwell	 4.354e+01	 4.354e+01	 4.354e+01	 0.000e+00
   Diagnostics	 3.698e+01	 3.698e+01	 3.698e+01	 0.000e+00
     Densities	 2.640e+00	 2.640e+00	 2.640e+00	 0.000e+00
    Collisions	 5.797e+00	 5.797e+00	 5.797e+00	 0.000e+00
    Mov window	 1.600e+00	 1.600e+00	 1.600e+00	 0.000e+00
Sync Particles	 9.466e+01	 9.466e+01	 9.466e+01	 0.000e+00
   Sync Fields	 3.842e+01	 3.842e+01	 3.842e+01	 0.000e+00
Sync Densities	 4.332e+01	 4.332e+01	 4.332e+01	 0.000e+00
  Part Merging	 2.907e+00	 2.907e+00	 2.907e+00	 0.000e+00
Part Injection	 2.627e+01	 2.627e+01	 2.627e+01	 0.000e+00


--- Timestep = 4 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 5.131e+01	 5.131e+01	 5.131e+01	 0.000e+00
       Maxwell	 5.427e+01	 5.427e+01	 5.427e+01	 0.000e+00
   Diagnostics	 4.618e+01	 4.618e+01	 4.618e+01	 0.000e+00
