

--- Timestep = 0 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
   Sync Fields	 1.893e+02	 1.893e+02	 1.893e+02	 0.000e+00
Sync Densities	 4.058e+02	 4.058e+02	 4.058e+02	 0.000e+00
  Part Merging	 2.827e+01	 2.827e+01	 2.827e+01	 0.000e+00
Part Injection	 4.320e+02	 4.320e+02	 4.320e+02	 0.000e+00


--- Timestep = 7 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 8.030e+02	 8.030e+02	 8.030e+02	 0.000e+00
       Maxwell	 9.185e+01	 9.185e+01	 9.185e+01	 0.000e+00
   Diagnostics	 1.581e+03	 1.581e+03	 1.581e+03	 0.000e+00
     Densities	 3.067e+01	 3.067e+01	 3.067e+01	 0.000e+00
    Collisions	 5.583e+01	 5.583e+01	 5.583e+01	 0.000e+00
    Mov window	 1.403e+01	 1.403e+01	 1.403e+01	 0.000e+00
Sync Particles	 7.881e+02	 7.881e+02	 7.881e+02	 0.000e+00
   Sync Fields	 2.107e+02	 2.107e+02	 2.107e+02	 0.000e+00
Sync Densities	 4.517e+02	 4.517e+02	 4.517e+02	 0.000e+00
  Part Merging	 3.155e+01	 3.155e+01	 3.155e+01	 0.000e+00
Part Injection	 4.890e+02	 4.890e+02	 4.890e+02	 0.000e+00


--- Timestep = 8 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 8.918e+02	 8.918e+02	 8.918e+02	 0.000e+00
       Maxwell	 1.018e+02	 1.018e+02	 1.018e+02	 0.000e+00
   Diagnostics	 1.796e+03	 1.796e+03	 1.796e+03	 0.000e+00
     Densities	 3.434e+01	 3.434e+01	 3.434e+01	 0.000e+00
    Collisions	 6.260e+01	 6.260e+01	 6.260e+01	 0.000e+00
    Mov window	 1.576e+01	 1.576e+01	 1.576e+01	 0.000e+00
Sync Particles	 8.733e+02	 8.733e+02	 8.733e+02	 0.000e+00
   Sync Fields	 2.329e+02	 2.329e+02	 2.329e+02	 0.000e+00
Sync Densities	 4.997e+02	 4.997e+02	 4.997e+02	 0.000e+00
  Part Merging	 3.495e+01	 3.495e+01	 3.495e+01	 0.000e+00
Part Injection	 5.476e+02	 5.476e+02	 5.476e+02	 0.000e+00


--- Timestep = 9 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 9.842e+02	 9.842e+02	 9.842e+02	 0.000e+00
       Maxwell	 1.126e+02	 1.126e+02	 1.126e+02	 0.000e+00
   Diagnostics	 2.023e+03	 2.023e+03	 2.023e+03	 0.000e+00
     Densities	 3.803e+01	 3.803e+01	 3.803e+01	 0.000e+00
    Collisions	 6.966e+01	 6.966e+01	 6.966e+01	 0.000e+00
    Mov window	 1.755e+01	 1.755e+01	 1.755e+01	 0.000e+00
Sync Particles	 9.606e+02	 9.606e+02	 9.606e+02	 0.000e+00
   Sync Fields	 2.559e+02	 2.559e+02	 2.559e+02	 0.000e+00
Sync Densities	 5.505e+02	 5.505e+02	 5.505e+02	 0.000e+00
  Part Merging	 3.855e+01	 3.855e+01	 3.855e+01	 0.000e+00
Part Injection	 6.084e+02	 6.084e+02	 6.084e+02	 0.000e+00


--- Timestep = 9 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 9.842e+02	 9.842e+02	 9.842e+02	 0.000e+00
       Maxwell	 1.126e+02	 1.126e+02	 1.126e+02	 0.000e+00
   Diagnostics	 2.023e+03	 2.023e+03	 2.023e+03	 0.000e+00
     Densities	 3.803e+01	 3.803e+01	 3.803e+01	 0.000e+00
    Collisions	 6.966e+01	 6.966e+01	 6.966e+01	 0.000e+00
    Mov window	 1.755e+01	 1.755e+01	 1.755e+01	 0.000e+00
Sync Particles	 9.606e+02	 9.606e+02	 9.606e+02	 0.000e+00
   Sync Fields	 2.559e+02	 2.559e+02	 2.559e+02	 0.000e+00
Sync Densities	 5.505e+02	 5.505e+02	 5.505e+02	 0.000e+00
  Part Merging	 3.855e+01	 3.855e+01	 3.855e+01	 0.000e+00
Part Injection	 6.084e+02	 6.084e+02	 6.084e+02	 0.000e+00
