# 1 time
# 2 Ubal_norm
# 3 Ubal
# 4 Utot
# 5 Uexp
# 6 Ukin
# 7 Urad
# 8 UmBWpairs
# 9 Uelm
# 10 Ukin_bnd
# 11 Ukin_out_mvw
# 12 Ukin_inj_mvw
# 13 Ukin_new
# 14 Uelm_bnd
# 15 Uelm_out_mvw
# 16 Uelm_inj_mvw
# 17 Dens_solar_electron
# 18 Ntot_solar_electron
# 19 Zavg_solar_electron
# 20 Ukin_solar_electron
# 21 Urad_solar_electron
# 22 Dens_solar_proton
# 23 Ntot_solar_proton
# 24 Zavg_solar_proton
# 25 Ukin_solar_proton
# 26 Urad_solar_proton
# 27 Uelm_Ex
# 28 Uelm_Ey
# 29 Uelm_Ez
# 30 Uelm_Bx_m
# 31 Uelm_By_m
# 32 Uelm_Bz_m
# 33 ExMin
# 34 ExMinCell
# 35 ExMax
# 36 ExMaxCell
# 37 EyMin
# 38 EyMinCell
# 39 EyMax
# 40 EyMaxCell
# 41 EzMin
# 42 EzMinCell
# 43 EzMax
# 44 EzMaxCell
# 45 Bx_mMin
# 46 Bx_mMinCell
# 47 Bx_mMax
# 48 Bx_mMaxCell
# 49 By_mMin
# 50 By_mMinCell
# 51 By_mMax
# 52 By_mMaxCell
# 53 Bz_mMin
# 54 Bz_mMinCell
# 55 Bz_mMax
# 56 Bz_mMaxCell
# 57 JxMin
# 58 JxMinCell
# 59 JxMax
# 60 JxMaxCell
# 61 JyMin
# 62 JyMinCell
# 63 JyMax
# 64 JyMaxCell
# 65 JzMin
# 66 JzMinCell
# 67 JzMax
# 68 JzMaxCell
# 69 RhoMin
# 70 RhoMinCell
# 71 RhoMax
# 72 RhoMaxCell
# 73 PoyXmin
# 74 PoyXminInst
# 75 PoyYmin
# 76 PoyYminInst
# 77 PoyXmax
# 78 PoyXmaxInst
# 79 PoyYmax
# 80 PoyYmaxInst
#
#        time    Ubal_norm         Ubal         Utot         Uexp         Ukin         Urad    UmBWpairs         Uelm     Ukin_bnd  Ukin_out_mvw  Ukin_inj_mvw     Ukin_new     Uelm_bnd  Uelm_out_mvw  Uelm_inj_mvw  Dens_solar_electron  Ntot_solar_electron  Zavg_solar_electron  Ukin_solar_electron  Urad_solar_electron  Dens_solar_proton  Ntot_solar_proton  Zavg_solar_proton  Ukin_solar_proton  Urad_solar_proton      Uelm_Ex      Uelm_Ey      Uelm_Ez    Uelm_Bx_m    Uelm_By_m    Uelm_Bz_m        ExMin    ExMinCell        ExMax    ExMaxCell        EyMin    EyMinCell        EyMax    EyMaxCell        EzMin    EzMinCell        EzMax    EzMaxCell      Bx_mMin  Bx_mMinCell      Bx_mMax  Bx_mMaxCell      By_mMin  By_mMinCell      By_mMax  By_mMaxCell      Bz_mMin  Bz_mMinCell      Bz_mMax  Bz_mMaxCell        JxMin    JxMinCell        JxMax    JxMaxCell        JyMin    JyMinCell        JyMax    JyMaxCell        JzMin    JzMinCell        JzMax    JzMaxCell       RhoMin   RhoMinCell       RhoMax   RhoMaxCell      PoyXmin  PoyXminInst      PoyYmin  PoyYminInst      PoyXmax  PoyXmaxInst      PoyYmax  PoyYmaxInst
    0.000e+00    0.000e+00    0.000e+00    2.065e-02    2.065e-02    0.000e+00    0.000e+00    0.000e+00    2.065e-02    0.000e+00     0.000e+00     0.000e+00    0.000e+00    0.000e+00     0.000e+00     0.000e+00            0.000e+00            0.000e+00                 -nan            0.000e+00            0.000e+00          0.000e+00          0.000e+00               -nan          0.000e+00          0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    2.065e-02    0.000e+00    0.000e+00  -1407244360    0.000e+00  -1407244360    0.000e+00  -1407244360    0.000e+00  -1407244360    0.000e+00  -1407244360    0.000e+00  -1407244360    0.000e+00  -1407244360    0.000e+00  -1407244360    2.288e-01  -1407244360    2.288e-01  -1407244360    0.000e+00  -1407244360    0.000e+00  -1407244360    0.000e+00  -1407244360    0.000e+00  -1407244360    0.000e+00  -1407244360    0.000e+00  -1407244360    0.000e+00  -1407244360    0.000e+00  -1407244360    0.000e+00  -1407244360    0.000e+00  -1407244360    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00
    1.071e+00    1.261e-03    4.294e-05    3.405e-02    3.401e-02    1.318e-02    0.000e+00    0.000e+00    2.087e-02    5.166e-04     0.000e+00     0.000e+00    1.398e-02   -9.752e-05     0.000e+00     0.000e+00            4.789e+00            8.950e+02           -1.000e+00            5.095e-04            0.000e+00          9.246e+00          1.728e+03          1.000e+00          1.267e-02          0.000e+00    1.775e-04    9.576e-05    2.530e-07    4.372e-07    2.060e-02    1.095e-06   -5.669e-01       130159    5.701e-01       131566   -5.118e-01       131030    5.542e-01       130989   -1.084e-02       130890    1.195e-02       131021   -2.477e-02       130645    2.354e-02       130983    2.139e-01       130205    2.440e-01       130137   -2.524e-02       130768    3.221e-02       130899   -2.191e+01       131034    2.382e+01       130769   -1.604e+01       130280    2.006e+01       130675   -1.816e+01       130586    1.667e+01       131030   -4.267e+02       129647    2.950e+03       131049    1.266e-05    1.234e-07   -4.947e-07   -9.926e-10   -1.091e-04    2.403e-07   -5.686e-07    8.187e-10
    2.142e+00    5.572e-03    2.644e-04    4.745e-02    4.719e-02    2.519e-02    0.000e+00    0.000e+00    2.227e-02    9.531e-04     0.000e+00     0.000e+00    2.761e-02   -1.214e-04     0.000e+00     0.000e+00            1.119e+01            2.091e+03           -1.000e+00            2.064e-03            0.000e+00          1.846e+01          3.451e+03          1.000e+00          2.312e-02          0.000e+00    1.265e-03    2.851e-04    2.747e-07    1.673e-06    2.071e-02    3.153e-06   -1.432e+00       130536    1.683e+00       131049   -7.840e-01       130607    9.689e-01       131049   -8.277e-03       127591    7.224e-03       130232   -3.417e-02       130259    3.308e-02       130438    1.992e-01       129593    2.508e-01       130262   -4.248e-02       130167    4.580e-02       130820   -3.381e+01       131058    5.177e+01       130985   -2.568e+01       130094    3.381e+01       130343   -1.894e+01       130263    3.240e+01       130380   -7.503e+02       130033    4.259e+03       130758    2.569e-05   -1.244e-07   -1.620e-06   -2.813e-09   -1.438e-04    1.213e-08   -1.682e-06    3.264e-09
    3.211e+00    1.089e-02    6.562e-04    6.024e-02    5.958e-02    3.557e-02    0.000e+00    0.000e+00    2.467e-02    1.586e-03     0.000e+00     0.000e+00    4.094e-02   -4.232e-04     0.000e+00     0.000e+00            1.795e+01            3.354e+03           -1.000e+00            5.847e-03            0.000e+00          2.726e+01          5.095e+03          1.000e+00          2.973e-02          0.000e+00    3.254e-03    6.513e-04    3.120e-07    2.180e-06    2.075e-02    9.849e-06   -1.811e+00       130306    2.383e+00       130739   -1.522e+00       130760    1.277e+00       130971   -9.414e-03       130892    1.544e-02       131062   -3.948e-02       130107    4.985e-02       130432    1.970e-01       129592    2.537e-01       130424   -9.691e-02       130198    7.918e-02       130388   -5.232e+01       130771    7.484e+01       130376   -7.000e+01       130167    6.331e+01       130070   -2.351e+01       130146    2.821e+01       130197   -1.051e+03       129794    4.604e+03       130770   -4.950e-05   -4.632e-08   -4.997e-06   -1.019e-08   -3.635e-04   -3.786e-08   -5.272e-06    1.062e-08
    4.282e+00    1.033e-02    7.455e-04    7.219e-02    7.144e-02    4.677e-02    0.000e+00    0.000e+00    2.541e-02    2.722e-03     0.000e+00     0.000e+00    5.454e-02   -1.030e-03     0.000e+00     0.000e+00            2.484e+01            4.643e+03           -1.000e+00            1.080e-02            0.000e+00          3.640e+01          6.803e+03          1.000e+00          3.597e-02          0.000e+00    3.747e-03    8.835e-04    2.633e-07    2.119e-06    2.076e-02    2.357e-05   -1.592e+00       130231    2.111e+00       130722   -1.413e+00       130588    1.165e+00       130899   -3.570e-03       119550    7.119e-03       130066   -4.587e-02       130192    5.309e-02       130095    1.972e-01       130472    2.612e-01       129559   -1.628e-01       130240    1.117e-01       131042   -8.188e+01       130469    7.764e+01       130323   -7.167e+01       130397    7.637e+01       130495   -2.494e+01       130386    3.065e+01       130472   -1.172e+03       129625    6.905e+03       130900   -1.728e-04   -1.797e-07   -1.363e-05   -3.688e-08   -8.278e-04    1.101e-06   -1.526e-05    2.109e-08
    5.353e+00    1.382e-02    1.157e-03    8.375e-02    8.260e-02    5.670e-02    0.000e+00    0.000e+00    2.706e-02    4.448e-03     0.000e+00     0.000e+00    6.834e-02   -1.946e-03     0.000e+00     0.000e+00            3.144e+01            5.876e+03           -1.000e+00            1.442e-02            0.000e+00          4.556e+01          8.515e+03          1.000e+00          4.228e-02          0.000e+00    5.103e-03    1.177e-03    2.469e-07    3.043e-06    2.074e-02    3.184e-05   -1.755e+00       130536    2.284e+00       130835   -1.514e+00       130442    1.525e+00       130984   -6.557e-03       130090    5.295e-03       127450   -5.423e-02       130377    5.950e-02       130087    1.852e-01       129589    2.608e-01       129058   -1.448e-01       130211    1.294e-01       130946   -6.426e+01       130060    7.852e+01       130359   -8.088e+01       130508    9.105e+01       130345   -2.598e+01       130161    2.996e+01       130531   -1.419e+03       130029    6.469e+03       130900   -3.171e-04   -3.418e-07   -3.176e-05   -2.831e-08   -1.570e-03    1.548e-06   -2.677e-05    3.292e-08
    6.424e+00    1.470e-02    1.381e-03    9.395e-02    9.257e-02    6.635e-02    0.000e+00    0.000e+00    2.759e-02    7.035e-03     0.000e+00     0.000e+00    8.181e-02   -2.863e-03     0.000e+00     0.000e+00            3.750e+01            7.008e+03           -1.000e+00            1.763e-02            0.000e+00          5.387e+01          1.007e+04          1.000e+00          4.872e-02          0.000e+00    5.585e-03    1.257e-03    2.539e-07    2.942e-06    2.071e-02    3.542e-05   -2.016e+00       130502    2.253e+00       130787   -1.492e+00       130400    1.465e+00       130954   -6.019e-03       130129    9.170e-03       130861   -5.260e-02       130272    5.897e-02       130332    1.860e-01       129582    2.600e-01       129919   -1.501e-01       130299    1.538e-01       130306   -8.289e+01       130164    9.030e+01       130477   -1.114e+02       130291    9.136e+01       130411   -2.709e+01       130530    4.172e+01       130532   -1.652e+03       129806    7.050e+03       130586   -4.472e-04   -1.731e-07   -4.773e-05   -1.281e-08   -2.326e-03    1.042e-06   -4.183e-05    2.880e-08
    7.495e+00    1.728e-02    1.748e-03    1.011e-01    9.938e-02    7.340e-02    0.000e+00    0.000e+00    2.773e-02    1.250e-02     0.000e+00     0.000e+00    9.499e-02   -3.756e-03     0.000e+00     0.000e+00            4.218e+01            7.883e+03           -1.000e+00            1.813e-02            0.000e+00          6.005e+01          1.122e+04          1.000e+00          5.527e-02          0.000e+00    5.621e-03    1.364e-03    2.538e-07    2.951e-06    2.071e-02    3.325e-05   -1.984e+00       130393    2.083e+00       130673   -1.217e+00       130393    1.373e+00       130008   -6.875e-03       130961    8.372e-03       130829   -5.427e-02       130490    6.623e-02       130224    1.818e-01       129963    2.611e-01       130815   -1.493e-01       130304    1.412e-01       130972   -6.759e+01       130386    7.561e+01       130920   -1.383e+02       130254    9.362e+01       130234   -2.597e+01       130386    4.196e+01       130475   -2.103e+03       129635    7.752e+03       130862   -5.773e-04   -2.880e-07   -6.601e-05   -5.331e-08   -3.052e-03    9.135e-07   -6.059e-05    1.826e-08
    8.566e+00    1.994e-02    2.142e-03    1.074e-01    1.053e-01    8.010e-02    0.000e+00    0.000e+00    2.734e-02    1.979e-02     0.000e+00     0.000e+00    1.090e-01   -4.566e-03     0.000e+00     0.000e+00            4.675e+01            8.737e+03           -1.000e+00            1.887e-02            0.000e+00          6.485e+01          1.212e+04          1.000e+00          6.123e-02          0.000e+00    5.196e-03    1.415e-03    2.738e-07    3.214e-06    2.070e-02    2.934e-05   -1.881e+00       130274    2.081e+00       130873   -1.438e+00       130812    1.241e+00       130754   -7.517e-03       130517    7.636e-03       129688   -4.778e-02       130319    5.663e-02       130465    1.689e-01       129956    2.622e-01       130320   -1.216e-01       130491    1.485e-01       130407   -8.748e+01       130161    6.991e+01       130254   -7.423e+01       130420    1.111e+02       130080   -2.944e+01       130463    4.289e+01       130365   -1.852e+03       129708    8.257e+03       130911   -6.829e-04   -1.131e-07   -8.371e-05   -4.268e-08   -3.726e-03    6.588e-07   -7.297e-05    1.567e-08
    9.635e+00    2.332e-02    2.644e-03    1.134e-01    1.107e-01    8.601e-02    0.000e+00    0.000e+00    2.738e-02    2.727e-02     0.000e+00     0.000e+00    1.227e-01   -5.332e-03     0.000e+00     0.000e+00            5.133e+01            9.593e+03           -1.000e+00            1.960e-02            0.000e+00          6.904e+01          1.290e+04          1.000e+00          6.641e-02          0.000e+00    5.134e-03    1.530e-03    2.509e-07    3.369e-06    2.068e-02    3.215e-05   -2.472e+00       130073    1.992e+00       131097   -1.280e+00       130220    1.249e+00       130449   -1.317e-02       130830    7.279e-03       129421   -4.940e-02       130310    8.495e-02       130326    1.555e-01       130137    2.642e-01       129811   -1.371e-01       130302    1.626e-01       130655   -9.154e+01       130596    8.401e+01       130653   -1.014e+02       130267    8.420e+01       130136   -3.409e+01       130323    3.972e+01       130278   -1.697e+03       129990    8.114e+03       130747   -7.981e-04   -8.252e-08   -1.002e-04   -2.819e-08   -4.343e-03    6.940e-07   -9.090e-05    2.711e-08
