

--- Timestep = 0 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.511e+01	 2.511e+01	 2.511e+01	 0.000e+00
       Maxwell	 7.639e+00	 7.639e+00	 7.639e+00	 0.000e+00
   Diagnostics	 2.131e+00	 2.131e+00	 2.131e+00	 0.000e+00
    Collisions	 1.304e+00	 1.304e+00	 1.304e+00	 0.000e+00
Sync Particles	 3.980e+01	 3.980e+01	 3.980e+01	 0.000e+00
   Sync Fields	 1.333e+00	 1.333e+00	 1.333e+00	 0.000e+00
Sync Densities	 6.259e+00	 6.259e+00	 6.259e+00	 0.000e+00
  Part Merging	 1.065e+00	 1.065e+00	 1.065e+00	 0.000e+00
Part Injection	 4.245e+01	 4.245e+01	 4.245e+01	 0.000e+00


--- Timestep = 1 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 7.204e+01	 7.204e+01	 7.204e+01	 0.000e+00
       Maxwell	 1.592e+01	 1.592e+01	 1.592e+01	 0.000e+00
   Diagnostics	 4.283e+00	 4.283e+00	 4.283e+00	 0.000e+00
    Collisions	 2.611e+00	 2.611e+00	 2.611e+00	 0.000e+00
Sync Particles	 8.327e+01	 8.327e+01	 8.327e+01	 0.000e+00
   Sync Fields	 2.726e+00	 2.726e+00	 2.726e+00	 0.000e+00
Sync Densities	 1.279e+01	 1.279e+01	 1.279e+01	 0.000e+00
  Part Merging	 2.155e+00	 2.155e+00	 2.155e+00	 0.000e+00
Part Injection	 8.548e+01	 8.548e+01	 8.548e+01	 0.000e+00


--- Timestep = 2 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.258e+02	 1.258e+02	 1.258e+02	 0.000e+00
       Maxwell	 2.397e+01	 2.397e+01	 2.397e+01	 0.000e+00
   Diagnostics	 6.428e+00	 6.428e+00	 6.428e+00	 0.000e+00
    Collisions	 3.930e+00	 3.930e+00	 3.930e+00	 0.000e+00
Sync Particles	 1.277e+02	 1.277e+02	 1.277e+02	 0.000e+00
   Sync Fields	 4.120e+00	 4.120e+00	 4.120e+00	 0.000e+00
Sync Densities	 1.934e+01	 1.934e+01	 1.934e+01	 0.000e+00
  Part Merging	 3.246e+00	 3.246e+00	 3.246e+00	 0.000e+00
Part Injection	 1.285e+02	 1.285e+02	 1.285e+02	 0.000e+00


--- Timestep = 3 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.722e+02	 1.722e+02	 1.722e+02	 0.000e+00
       Maxwell	 3.165e+01	 3.165e+01	 3.165e+01	 0.000e+00
   Diagnostics	 8.796e+00	 8.796e+00	 8.796e+00	 0.000e+00
    Collisions	 5.245e+00	 5.245e+00	 5.245e+00	 0.000e+00
Sync Particles	 1.711e+02	 1.711e+02	 1.711e+02	 0.000e+00
   Sync Fields	 5.493e+00	 5.493e+00	 5.493e+00	 0.000e+00
Sync Densities	 2.575e+01	 2.575e+01	 2.575e+01	 0.000e+00
  Part Merging	 4.331e+00	 4.331e+00	 4.331e+00	 0.000e+00
Part Injection	 1.714e+02	 1.714e+02	 1.714e+02	 0.000e+00


--- Timestep = 4 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.095e+02	 2.095e+02	 2.095e+02	 0.000e+00
       Maxwell	 3.897e+01	 3.897e+01	 3.897e+01	 0.000e+00
   Diagnostics	 1.092e+01	 1.092e+01	 1.092e+01	 0.000e+00
    Collisions	 6.556e+00	 6.556e+00	 6.556e+00	 0.000e+00
Sync Particles	 2.132e+02	 2.132e+02	 2.132e+02	 0.000e+00
   Sync Fields	 6.842e+00	 6.842e+00	 6.842e+00	 0.000e+00
Sync Densities	 3.204e+01	 3.204e+01	 3.204e+01	 0.000e+00
  Part Merging	 5.411e+00	 5.411e+00	 5.411e+00	 0.000e+00
Part Injection	 2.145e+02	 2.145e+02	 2.145e+02	 0.000e+00


--- Timestep = 5 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.396e+02	 2.396e+02	 2.396e+02	 0.000e+00
       Maxwell	 4.603e+01	 4.603e+01	 4.603e+01	 0.000e+00
   Diagnostics	 1.303e+01	 1.303e+01	 1.303e+01	 0.000e+00
    Collisions	 7.861e+00	 7.861e+00	 7.861e+00	 0.000e+00
Sync Particles	 2.537e+02	 2.537e+02	 2.537e+02	 0.000e+00
   Sync Fields	 8.167e+00	 8.167e+00	 8.167e+00	 0.000e+00
Sync Densities	 3.821e+01	 3.821e+01	 3.821e+01	 0.000e+00
  Part Merging	 6.478e+00	 6.478e+00	 6.478e+00	 0.000e+00
Part Injection	 2.574e+02	 2.574e+02	 2.574e+02	 0.000e+00


--- Timestep = 6 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.653e+02	 2.653e+02	 2.653e+02	 0.000e+00
       Maxwell	 5.289e+01	 5.289e+01	 5.289e+01	 0.000e+00
   Diagnostics	 1.513e+01	 1.513e+01	 1.513e+01	 0.000e+00
