

--- Timestep = 0 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
    Collisions	 9.164e+00	 9.164e+00	 9.164e+00	 0.000e+00
Sync Particles	 2.933e+02	 2.933e+02	 2.933e+02	 0.000e+00
   Sync Fields	 9.475e+00	 9.475e+00	 9.475e+00	 0.000e+00
Sync Densities	 4.432e+01	 4.432e+01	 4.432e+01	 0.000e+00
  Part Merging	 7.541e+00	 7.541e+00	 7.541e+00	 0.000e+00
Part Injection	 3.001e+02	 3.001e+02	 3.001e+02	 0.000e+00


--- Timestep = 7 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.885e+02	 2.885e+02	 2.885e+02	 0.000e+00
       Maxwell	 5.967e+01	 5.967e+01	 5.967e+01	 0.000e+00
   Diagnostics	 1.754e+01	 1.754e+01	 1.754e+01	 0.000e+00
    Collisions	 1.046e+01	 1.046e+01	 1.046e+01	 0.000e+00
Sync Particles	 3.322e+02	 3.322e+02	 3.322e+02	 0.000e+00
   Sync Fields	 1.078e+01	 1.078e+01	 1.078e+01	 0.000e+00
Sync Densities	 5.038e+01	 5.038e+01	 5.038e+01	 0.000e+00
  Part Merging	 8.596e+00	 8.596e+00	 8.596e+00	 0.000e+00
Part Injection	 3.427e+02	 3.427e+02	 3.427e+02	 0.000e+00


--- Timestep = 8 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 3.099e+02	 3.099e+02	 3.099e+02	 0.000e+00
       Maxwell	 6.636e+01	 6.636e+01	 6.636e+01	 0.000e+00
   Diagnostics	 1.965e+01	 1.965e+01	 1.965e+01	 0.000e+00
    Collisions	 1.175e+01	 1.175e+01	 1.175e+01	 0.000e+00
Sync Particles	 3.707e+02	 3.707e+02	 3.707e+02	 0.000e+00
   Sync Fields	 1.208e+01	 1.208e+01	 1.208e+01	 0.000e+00
Sync Densities	 5.637e+01	 5.637e+01	 5.637e+01	 0.000e+00
  Part Merging	 9.652e+00	 9.652e+00	 9.652e+00	 0.000e+00
Part Injection	 3.852e+02	 3.852e+02	 3.852e+02	 0.000e+00


--- Timestep = 9 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 3.302e+02	 3.302e+02	 3.302e+02	 0.000e+00
       Maxwell	 7.297e+01	 7.297e+01	 7.297e+01	 0.000e+00
   Diagnostics	 2.176e+01	 2.176e+01	 2.176e+01	 0.000e+00
    Collisions	 1.306e+01	 1.306e+01	 1.306e+01	 0.000e+00
Sync Particles	 4.088e+02	 4.088e+02	 4.088e+02	 0.000e+00
   Sync Fields	 1.336e+01	 1.336e+01	 1.336e+01	 0.000e+00
Sync Densities	 6.234e+01	 6.234e+01	 6.234e+01	 0.000e+00
  Part Merging	 1.070e+01	 1.070e+01	 1.070e+01	 0.000e+00
Part Injection	 4.275e+02	 4.275e+02	 4.275e+02	 0.000e+00


--- Timestep = 9 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 3.302e+02	 3.302e+02	 3.302e+02	 0.000e+00
       Maxwell	 7.297e+01	 7.297e+01	 7.297e+01	 0.000e+00
   Diagnostics	 2.177e+01	 2.177e+01	 2.177e+01	 0.000e+00
    Collisions	 1.306e+01	 1.306e+01	 1.306e+01	 0.000e+00
Sync Particles	 4.088e+02	 4.088e+02	 4.088e+02	 0.000e+00
   Sync Fields	 1.336e+01	 1.336e+01	 1.336e+01	 0.000e+00
Sync Densities	 6.234e+01	 6.234e+01	 6.234e+01	 0.000e+00
  Part Merging	 1.070e+01	 1.070e+01	 1.070e+01	 0.000e+00
Part Injection	 4.275e+02	 4.275e+02	 4.275e+02	 0.000e+00
