# 1 time
# 2 Ubal_norm
# 3 Ubal
# 4 Utot
# 5 Uexp
# 6 Ukin
# 7 Urad
# 8 UmBWpairs
# 9 Uelm
# 10 Ukin_bnd
# 11 Ukin_out_mvw
# 12 Ukin_inj_mvw
# 13 Ukin_new
# 14 Uelm_bnd
# 15 Uelm_out_mvw
# 16 Uelm_inj_mvw
# 17 Dens_solar_electron
# 18 Ntot_solar_electron
# 19 Zavg_solar_electron
# 20 Ukin_solar_electron
# 21 Urad_solar_electron
# 22 Dens_solar_proton
# 23 Ntot_solar_proton
# 24 Zavg_solar_proton
# 25 Ukin_solar_proton
# 26 Urad_solar_proton
# 27 Uelm_Ex
# 28 Uelm_Ey
# 29 Uelm_Ez
# 30 Uelm_Bx_m
# 31 Uelm_By_m
# 32 Uelm_Bz_m
# 33 ExMin
# 34 ExMinCell
# 35 ExMax
# 36 ExMaxCell
# 37 EyMin
# 38 EyMinCell
# 39 EyMax
# 40 EyMaxCell
# 41 EzMin
# 42 EzMinCell
# 43 EzMax
# 44 EzMaxCell
# 45 Bx_mMin
# 46 Bx_mMinCell
# 47 Bx_mMax
# 48 Bx_mMaxCell
# 49 By_mMin
# 50 By_mMinCell
# 51 By_mMax
# 52 By_mMaxCell
# 53 Bz_mMin
# 54 Bz_mMinCell
# 55 Bz_mMax
# 56 Bz_mMaxCell
# 57 JxMin
# 58 JxMinCell
# 59 JxMax
# 60 JxMaxCell
# 61 JyMin
# 62 JyMinCell
# 63 JyMax
# 64 JyMaxCell
# 65 JzMin
# 66 JzMinCell
# 67 JzMax
# 68 JzMaxCell
# 69 RhoMin
# 70 RhoMinCell
# 71 RhoMax
# 72 RhoMaxCell
# 73 PoyXmin
# 74 PoyXminInst
# 75 PoyYmin
# 76 PoyYminInst
# 77 PoyXmax
# 78 PoyXmaxInst
# 79 PoyYmax
# 80 PoyYmaxInst
#
#        time    Ubal_norm         Ubal         Utot         Uexp         Ukin         Urad    UmBWpairs         Uelm     Ukin_bnd  Ukin_out_mvw  Ukin_inj_mvw     Ukin_new     Uelm_bnd  Uelm_out_mvw  Uelm_inj_mvw  Dens_solar_electron  Ntot_solar_electron  Zavg_solar_electron  Ukin_solar_electron  Urad_solar_electron  Dens_solar_proton  Ntot_solar_proton  Zavg_solar_proton  Ukin_solar_proton  Urad_solar_proton      Uelm_Ex      Uelm_Ey      Uelm_Ez    Uelm_Bx_m    Uelm_By_m    Uelm_Bz_m        ExMin    ExMinCell        ExMax    ExMaxCell        EyMin    EyMinCell        EyMax    EyMaxCell        EzMin    EzMinCell        EzMax    EzMaxCell      Bx_mMin  Bx_mMinCell      Bx_mMax  Bx_mMaxCell      By_mMin  By_mMinCell      By_mMax  By_mMaxCell      Bz_mMin  Bz_mMinCell      Bz_mMax  Bz_mMaxCell        JxMin    JxMinCell        JxMax    JxMaxCell        JyMin    JyMinCell        JyMax    JyMaxCell        JzMin    JzMinCell        JzMax    JzMaxCell       RhoMin   RhoMinCell       RhoMax   RhoMaxCell      PoyXmin  PoyXminInst      PoyYmin  PoyYminInst      PoyXmax  PoyXmaxInst      PoyYmax  PoyYmaxInst
    0.000e+00    0.000e+00    0.000e+00    2.085e-02    2.085e-02    0.000e+00    0.000e+00    0.000e+00    2.085e-02    0.000e+00     0.000e+00     0.000e+00    0.000e+00    0.000e+00     0.000e+00     0.000e+00            0.000e+00            0.000e+00                 -nan            0.000e+00            0.000e+00          0.000e+00          0.000e+00               -nan          0.000e+00          0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    2.085e-02    0.000e+00    0.000e+00   1836029880    0.000e+00   1836029880    0.000e+00   1836029880    0.000e+00   1836029880    0.000e+00   1836029880    0.000e+00   1836029880    0.000e+00   1836029880    0.000e+00   1836029880    2.288e-01   1836029880    2.288e-01   1836029880    0.000e+00   1836029880    0.000e+00   1836029880    0.000e+00   1836029880    0.000e+00   1836029880    0.000e+00   1836029880    0.000e+00   1836029880    0.000e+00   1836029880    0.000e+00   1836029880    0.000e+00   1836029880    0.000e+00   1836029880    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00
    1.069e+00    9.854e-04    3.315e-05    3.364e-02    3.361e-02    1.246e-02    0.000e+00    0.000e+00    2.118e-02    4.989e-04     0.000e+00     0.000e+00    1.327e-02   -1.246e-05     0.000e+00     0.000e+00            4.173e+00            1.950e+02           -1.000e+00            3.732e-04            0.000e+00          8.732e+00          4.080e+02          1.000e+00          1.209e-02          0.000e+00    1.525e-04    1.094e-04    8.584e-07    1.102e-06    2.091e-02    3.090e-06   -4.914e-01        32712    4.355e-01        32924   -4.074e-01        32712    4.587e-01        32548   -1.374e-02        32577    1.169e-02        31872   -2.778e-02        32726    2.249e-02        32654    2.111e-01        32412    2.469e-01        32389   -3.334e-02        32576    3.249e-02        32744   -1.054e+01        32575    1.320e+01        32742   -1.321e+01        32607    1.552e+01        32525   -1.015e+01        32740    7.424e+00        32722   -1.715e+02        32406    1.962e+03        32622   -2.255e-05    2.236e-07   -9.455e-07   -1.245e-08    1.212e-05   -3.679e-07   -1.076e-06    9.363e-09
    2.142e+00    4.240e-03    2.020e-04    4.765e-02    4.745e-02    2.577e-02    0.000e+00    0.000e+00    2.188e-02    8.876e-04     0.000e+00     0.000e+00    2.769e-02   -2.042e-04     0.000e+00     0.000e+00            1.032e+01            4.820e+02           -1.000e+00            1.183e-03            0.000e+00          1.832e+01          8.560e+02          1.000e+00          2.458e-02          0.000e+00    6.663e-04    2.843e-04    8.849e-07    2.359e-06    2.092e-02    8.233e-06   -7.053e-01        32749    8.748e-01        32941   -7.979e-01        32685    6.551e-01        32641   -7.602e-03        32631    9.315e-03        31730   -5.197e-02        32592    4.116e-02        32667    2.032e-01        32466    2.542e-01        32473   -5.235e-02        32691    5.227e-02        32754   -1.581e+01        32582    2.617e+01        32753   -1.586e+01        32641    2.817e+01        32754   -1.585e+01        32666    9.441e+00        32415   -1.826e+02        32162    2.479e+03        32622   -1.304e-04   -3.863e-07   -3.309e-06   -2.035e-08   -6.556e-05   -1.224e-07   -4.888e-06    9.558e-09
    3.211e+00    7.260e-03    4.312e-04    5.940e-02    5.896e-02    3.617e-02    0.000e+00    0.000e+00    2.323e-02    1.300e-03     0.000e+00     0.000e+00    3.996e-02   -5.510e-04     0.000e+00     0.000e+00            1.622e+01            7.580e+02           -1.000e+00            2.802e-03            0.000e+00          2.662e+01          1.244e+03          1.000e+00          3.337e-02          0.000e+00    1.859e-03    4.476e-04    8.235e-07    4.327e-06    2.090e-02    1.612e-05   -1.182e+00        32363    1.101e+00        32620   -8.313e-01        32375    9.049e-01        32620   -5.570e-03        30040    3.197e-02        32703   -4.468e-02        32638    4.080e-02        32267    1.869e-01        32442    2.669e-01        32384   -5.816e-02        32347    7.923e-02        32644   -3.318e+01        32688    2.909e+01        32685   -1.513e+01        32468    2.956e+01        32430   -1.626e+01        32356    1.375e+01        32326   -3.974e+02        32107    3.068e+03        32590   -1.958e-04    2.497e-07   -1.069e-05   -2.950e-08   -3.305e-04    1.517e-07   -1.401e-05    1.484e-08
    4.284e+00    1.397e-02    1.015e-03    7.264e-02    7.163e-02    4.715e-02    0.000e+00    0.000e+00    2.550e-02    1.799e-03     0.000e+00     0.000e+00    5.357e-02   -9.911e-04     0.000e+00     0.000e+00            2.326e+01            1.087e+03           -1.000e+00            6.215e-03            0.000e+00          3.568e+01          1.667e+03          1.000e+00          4.093e-02          0.000e+00    3.456e-03    9.994e-04    9.098e-07    5.786e-06    2.101e-02    2.836e-05   -1.502e+00        32374    1.459e+00        32573   -1.424e+00        32601    1.086e+00        32357   -1.518e-02        32248    9.793e-03        32216   -5.897e-02        32454    6.601e-02        32436    1.785e-01        32439    2.840e-01        32384   -1.086e-01        32648    1.284e-01        32333   -3.626e+01        32570    3.704e+01        32649   -4.142e+01        32384    4.857e+01        32389   -2.499e+01        32384    2.172e+01        32444   -4.555e+02        32110    3.411e+03        32719   -3.134e-04   -4.449e-07   -1.974e-05   -1.939e-08   -6.315e-04    1.972e-06   -2.644e-05    5.616e-08
    5.353e+00    1.741e-02    1.475e-03    8.469e-02    8.322e-02    5.750e-02    0.000e+00    0.000e+00    2.719e-02    2.469e-03     0.000e+00     0.000e+00    6.677e-02   -1.939e-03     0.000e+00     0.000e+00            3.022e+01            1.412e+03           -1.000e+00            1.076e-02            0.000e+00          4.445e+01          2.077e+03          1.000e+00          4.674e-02          0.000e+00    4.797e-03    1.365e-03    7.719e-07    5.125e-06    2.098e-02    4.275e-05   -1.690e+00        32384    1.859e+00        32678   -1.194e+00        32437    1.287e+00        32637   -1.109e-02        32520    2.540e-02        32682   -6.634e-02        32281    6.176e-02        32296    1.809e-01        32440    2.664e-01        32330   -1.441e-01        32594    1.677e-01        32686   -3.666e+01        32577    3.991e+01        32685   -6.343e+01        32490    5.884e+01        32385   -2.195e+01        32295    2.217e+01        32440   -4.630e+02        32118    3.510e+03        32681   -4.939e-04   -8.126e-07   -3.261e-05   -2.866e-08   -1.369e-03    1.509e-06   -4.330e-05    6.625e-08
    6.422e+00    2.073e-02    1.994e-03    9.618e-02    9.419e-02    6.831e-02    0.000e+00    0.000e+00    2.788e-02    3.650e-03     0.000e+00     0.000e+00    8.021e-02   -3.218e-03     0.000e+00     0.000e+00            3.690e+01            1.724e+03           -1.000e+00            1.554e-02            0.000e+00          5.333e+01          2.492e+03          1.000e+00          5.277e-02          0.000e+00    5.157e-03    1.676e-03    7.330e-07    7.281e-06    2.097e-02    6.693e-05   -1.388e+00        32478    1.724e+00        32950   -1.133e+00        32501    1.288e+00        32243   -1.020e-02        32580    8.834e-03        32555   -7.174e-02        32302    8.057e-02        32297    1.728e-01        32438    2.673e-01        32008   -1.671e-01        32754    1.442e-01        32485   -6.680e+01        32468    4.663e+01        32499   -5.112e+01        32503    7.569e+01        32479   -3.322e+01        32264    2.608e+01        32438   -6.379e+02        32078    4.475e+03        32520   -6.886e-04   -8.426e-07   -5.583e-05   -1.211e-07   -2.400e-03    3.160e-06   -7.382e-05    8.562e-08
    7.495e+00    2.609e-02    2.810e-03    1.077e-01    1.049e-01    7.799e-02    0.000e+00    0.000e+00    2.971e-02    4.971e-03     0.000e+00     0.000e+00    9.387e-02   -4.863e-03     0.000e+00     0.000e+00            4.347e+01            2.031e+03           -1.000e+00            1.860e-02            0.000e+00          6.224e+01          2.908e+03          1.000e+00          5.939e-02          0.000e+00    6.430e-03    2.221e-03    7.747e-07    7.681e-06    2.096e-02    8.745e-05   -1.392e+00        32374    2.027e+00        32971   -1.340e+00        32578    1.496e+00        32598   -7.632e-03        32008    2.071e-02        32590   -6.486e-02        32338    7.117e-02        32354    1.722e-01        32267    2.788e-01        32387   -1.587e-01        32610    1.843e-01        32312   -5.005e+01        32400    6.456e+01        32693   -1.092e+02        32455    7.511e+01        32304   -2.889e+01        32352    2.818e+01        32335   -5.819e+02        32195    4.868e+03        32520   -8.917e-04   -4.534e-07   -7.874e-05   -9.075e-08   -3.780e-03    3.371e-06   -1.122e-04    1.492e-07
    8.564e+00    3.255e-02    3.852e-03    1.183e-01    1.145e-01    8.667e-02    0.000e+00    0.000e+00    3.165e-02    6.620e-03     0.000e+00     0.000e+00    1.069e-01   -6.620e-03     0.000e+00     0.000e+00            4.957e+01            2.316e+03           -1.000e+00            2.156e-02            0.000e+00          7.082e+01          3.309e+03          1.000e+00          6.511e-02          0.000e+00    8.272e-03    2.345e-03    6.466e-07    7.819e-06    2.092e-02    1.066e-04   -1.521e+00        32395    2.226e+00        32897   -1.496e+00        32148    1.345e+00        32706   -7.787e-03        30314    2.285e-02        32607   -7.543e-02        32363    8.788e-02        32490    1.727e-01        32277    2.694e-01        32472   -1.799e-01        32403    2.029e-01        32754   -4.913e+01        32383    5.801e+01        32751   -7.426e+01        32293    8.507e+01        32406   -1.937e+01        32008    2.165e+01        32285   -7.021e+02        32057    6.059e+03        32625   -1.099e-03   -7.976e-07   -1.282e-04   -1.011e-07   -5.241e-03    6.305e-06   -1.511e-04    1.146e-07
    9.637e+00    4.199e-02    5.400e-03    1.286e-01    1.232e-01    9.600e-02    0.000e+00    0.000e+00    3.258e-02    8.744e-03     0.000e+00     0.000e+00    1.195e-01   -8.409e-03     0.000e+00     0.000e+00            5.573e+01            2.604e+03           -1.000e+00            2.579e-02            0.000e+00          7.865e+01          3.675e+03          1.000e+00          7.021e-02          0.000e+00    8.995e-03    2.540e-03    6.521e-07    9.191e-06    2.091e-02    1.296e-04   -1.395e+00        32264    2.283e+00        32881   -1.425e+00        32364    1.514e+00        32599   -9.433e-03        32076    8.181e-03        31095   -7.624e-02        32335    7.876e-02        32325    1.468e-01        32455    2.680e-01        32404   -2.517e-01        32345    1.923e-01        32404   -5.307e+01        32590    7.971e+01        32657   -8.117e+01        32299    7.881e+01        32331   -1.842e+01        32156    3.244e+01        32455   -8.431e+02        32156    6.356e+03        32625   -1.274e-03   -9.692e-07   -1.943e-04   -3.235e-07   -6.753e-03    7.191e-06   -1.880e-04    1.877e-07
