

--- Timestep = 0 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.854e+00	 1.854e+00	 1.854e+00	 0.000e+00
       Maxwell	 1.499e+00	 1.499e+00	 1.499e+00	 0.000e+00
   Diagnostics	 4.473e+00	 4.473e+00	 4.473e+00	 0.000e+00
     Densities	 3.742e-01	 3.742e-01	 3.742e-01	 0.000e+00
    Collisions	 1.289e+00	 1.289e+00	 1.289e+00	 0.000e+00
    Mov window	 3.212e-01	 3.212e-01	 3.212e-01	 0.000e+00
Sync Particles	 1.359e+01	 1.359e+01	 1.359e+01	 0.000e+00
   Sync Fields	 3.611e+00	 3.611e+00	 3.611e+00	 0.000e+00
Sync Densities	 4.479e+00	 4.479e+00	 4.479e+00	 0.000e+00
  Part Merging	 6.554e-01	 6.554e-01	 6.554e-01	 0.000e+00
Part Injection	 5.197e+00	 5.197e+00	 5.197e+00	 0.000e+00


--- Timestep = 1 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 4.414e+00	 4.414e+00	 4.414e+00	 0.000e+00
       Maxwell	 3.058e+00	 3.058e+00	 3.058e+00	 0.000e+00
   Diagnostics	 8.959e+00	 8.959e+00	 8.959e+00	 0.000e+00
     Densities	 7.622e-01	 7.622e-01	 7.622e-01	 0.000e+00
    Collisions	 2.596e+00	 2.596e+00	 2.596e+00	 0.000e+00
    Mov window	 6.460e-01	 6.460e-01	 6.460e-01	 0.000e+00
Sync Particles	 2.761e+01	 2.761e+01	 2.761e+01	 0.000e+00
   Sync Fields	 7.265e+00	 7.265e+00	 7.265e+00	 0.000e+00
Sync Densities	 9.034e+00	 9.034e+00	 9.034e+00	 0.000e+00
  Part Merging	 1.320e+00	 1.320e+00	 1.320e+00	 0.000e+00
Part Injection	 1.046e+01	 1.046e+01	 1.046e+01	 0.000e+00


--- Timestep = 2 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 7.348e+00	 7.348e+00	 7.348e+00	 0.000e+00
       Maxwell	 5.094e+00	 5.094e+00	 5.094e+00	 0.000e+00
   Diagnostics	 1.507e+01	 1.507e+01	 1.507e+01	 0.000e+00
     Densities	 1.356e+00	 1.356e+00	 1.356e+00	 0.000e+00
    Collisions	 4.218e+00	 4.218e+00	 4.218e+00	 0.000e+00
    Mov window	 1.082e+00	 1.082e+00	 1.082e+00	 0.000e+00
Sync Particles	 4.663e+01	 4.663e+01	 4.663e+01	 0.000e+00
   Sync Fields	 1.241e+01	 1.241e+01	 1.241e+01	 0.000e+00
Sync Densities	 1.580e+01	 1.580e+01	 1.580e+01	 0.000e+00
  Part Merging	 2.241e+00	 2.241e+00	 2.241e+00	 0.000e+00
Part Injection	 1.623e+01	 1.623e+01	 1.623e+01	 0.000e+00


--- Timestep = 3 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.219e+01	 1.219e+01	 1.219e+01	 0.000e+00
       Maxwell	 1.020e+01	 1.020e+01	 1.020e+01	 0.000e+00
   Diagnostics	 3.465e+01	 3.465e+01	 3.465e+01	 0.000e+00
     Densities	 3.010e+00	 3.010e+00	 3.010e+00	 0.000e+00
    Collisions	 9.975e+00	 9.975e+00	 9.975e+00	 0.000e+00
    Mov window	 2.559e+00	 2.559e+00	 2.559e+00	 0.000e+00
Sync Particles	 9.823e+01	 9.823e+01	 9.823e+01	 0.000e+00
   Sync Fields	 2.835e+01	 2.835e+01	 2.835e+01	 0.000e+00
Sync Densities	 3.454e+01	 3.454e+01	 3.454e+01	 0.000e+00
  Part Merging	 5.253e+00	 5.253e+00	 5.253e+00	 0.000e+00
Part Injection	 2.377e+01	 2.377e+01	 2.377e+01	 0.000e+00


--- Timestep = 4 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.703e+01	 1.703e+01	 1.703e+01	 0.000e+00
       Maxwell	 1.553e+01	 1.553e+01	 1.553e+01	 0.000e+00
   Diagnostics	 5.550e+01	 5.550e+01	 5.550e+01	 0.000e+00
     Densities	 4.740e+00	 4.740e+00	 4.740e+00	 0.000e+00
    Collisions	 1.617e+01	 1.617e+01	 1.617e+01	 0.000e+00
    Mov window	 4.117e+00	 4.117e+00	 4.117e+00	 0.000e+00
