

--- Timestep = 0 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
Sync Particles	 1.524e+02	 1.524e+02	 1.524e+02	 0.000e+00
   Sync Fields	 4.533e+01	 4.533e+01	 4.533e+01	 0.000e+00
Sync Densities	 5.421e+01	 5.421e+01	 5.421e+01	 0.000e+00
  Part Merging	 8.385e+00	 8.385e+00	 8.385e+00	 0.000e+00
Part Injection	 3.179e+01	 3.179e+01	 3.179e+01	 0.000e+00


--- Timestep = 5 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.177e+01	 2.177e+01	 2.177e+01	 0.000e+00
       Maxwell	 2.074e+01	 2.074e+01	 2.074e+01	 0.000e+00
   Diagnostics	 7.577e+01	 7.577e+01	 7.577e+01	 0.000e+00
     Densities	 6.426e+00	 6.426e+00	 6.426e+00	 0.000e+00
    Collisions	 2.218e+01	 2.218e+01	 2.218e+01	 0.000e+00
    Mov window	 5.617e+00	 5.617e+00	 5.617e+00	 0.000e+00
Sync Particles	 2.057e+02	 2.057e+02	 2.057e+02	 0.000e+00
   Sync Fields	 6.197e+01	 6.197e+01	 6.197e+01	 0.000e+00
Sync Densities	 7.354e+01	 7.354e+01	 7.354e+01	 0.000e+00
  Part Merging	 1.148e+01	 1.148e+01	 1.148e+01	 0.000e+00
Part Injection	 3.992e+01	 3.992e+01	 3.992e+01	 0.000e+00


--- Timestep = 6 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.644e+01	 2.644e+01	 2.644e+01	 0.000e+00
       Maxwell	 2.596e+01	 2.596e+01	 2.596e+01	 0.000e+00
   Diagnostics	 9.617e+01	 9.617e+01	 9.617e+01	 0.000e+00
     Densities	 8.135e+00	 8.135e+00	 8.135e+00	 0.000e+00
    Collisions	 2.823e+01	 2.823e+01	 2.823e+01	 0.000e+00
    Mov window	 7.157e+00	 7.157e+00	 7.157e+00	 0.000e+00
Sync Particles	 2.587e+02	 2.587e+02	 2.587e+02	 0.000e+00
   Sync Fields	 7.840e+01	 7.840e+01	 7.840e+01	 0.000e+00
Sync Densities	 9.270e+01	 9.270e+01	 9.270e+01	 0.000e+00
  Part Merging	 1.455e+01	 1.455e+01	 1.455e+01	 0.000e+00
Part Injection	 4.801e+01	 4.801e+01	 4.801e+01	 0.000e+00


--- Timestep = 7 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 3.107e+01	 3.107e+01	 3.107e+01	 0.000e+00
       Maxwell	 3.121e+01	 3.121e+01	 3.121e+01	 0.000e+00
   Diagnostics	 1.167e+02	 1.167e+02	 1.167e+02	 0.000e+00
     Densities	 9.863e+00	 9.863e+00	 9.863e+00	 0.000e+00
    Collisions	 3.428e+01	 3.428e+01	 3.428e+01	 0.000e+00
    Mov window	 8.703e+00	 8.703e+00	 8.703e+00	 0.000e+00
Sync Particles	 3.120e+02	 3.120e+02	 3.120e+02	 0.000e+00
   Sync Fields	 9.503e+01	 9.503e+01	 9.503e+01	 0.000e+00
Sync Densities	 1.122e+02	 1.122e+02	 1.122e+02	 0.000e+00
  Part Merging	 1.763e+01	 1.763e+01	 1.763e+01	 0.000e+00
Part Injection	 5.597e+01	 5.597e+01	 5.597e+01	 0.000e+00


--- Timestep = 8 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 3.570e+01	 3.570e+01	 3.570e+01	 0.000e+00
       Maxwell	 3.658e+01	 3.658e+01	 3.658e+01	 0.000e+00
   Diagnostics	 1.380e+02	 1.380e+02	 1.380e+02	 0.000e+00
     Densities	 1.160e+01	 1.160e+01	 1.160e+01	 0.000e+00
    Collisions	 4.061e+01	 4.061e+01	 4.061e+01	 0.000e+00
    Mov window	 1.029e+01	 1.029e+01	 1.029e+01	 0.000e+00
Sync Particles	 3.668e+02	 3.668e+02	 3.668e+02	 0.000e+00
   Sync Fields	 1.120e+02	 1.120e+02	 1.120e+02	 0.000e+00
Sync Densities	 1.319e+02	 1.319e+02	 1.319e+02	 0.000e+00
  Part Merging	 2.084e+01	 2.084e+01	 2.084e+01	 0.000e+00
Part Injection	 6.394e+01	 6.394e+01	 6.394e+01	 0.000e+00


--- Timestep = 9 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 4.028e+01	 4.028e+01	 4.028e+01	 0.000e+00
       Maxwell	 4.184e+01	 4.184e+01	 4.184e+01	 0.000e+00
   Diagnostics	 1.587e+02	 1.587e+02	 1.587e+02	 0.000e+00
     Densities	 1.329e+01	 1.329e+01	 1.329e+01	 0.000e+00
    Collisions	 4.680e+01	 4.680e+01	 4.680e+01	 0.000e+00
    Mov window	 1.184e+01	 1.184e+01	 1.184e+01	 0.000e+00
Sync Particles	 4.204e+02	 4.204e+02	 4.204e+02	 0.000e+00
   Sync Fields	 1.288e+02	 1.288e+02	 1.288e+02	 0.000e+00
Sync Densities	 1.513e+02	 1.513e+02	 1.513e+02	 0.000e+00
  Part Merging	 2.401e+01	 2.401e+01	 2.401e+01	 0.000e+00
Part Injection	 7.185e+01	 7.185e+01	 7.185e+01	 0.000e+00


--- Timestep = 9 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 4.028e+01	 4.028e+01	 4.028e+01	 0.000e+00
       Maxwell	 4.184e+01	 4.184e+01	 4.184e+01	 0.000e+00
   Diagnostics	 1.587e+02	 1.587e+02	 1.587e+02	 0.000e+00
     Densities	 1.329e+01	 1.329e+01	 1.329e+01	 0.000e+00
    Collisions	 4.680e+01	 4.680e+01	 4.680e+01	 0.000e+00
    Mov window	 1.184e+01	 1.184e+01	 1.184e+01	 0.000e+00
Sync Particles	 4.204e+02	 4.204e+02	 4.204e+02	 0.000e+00
   Sync Fields	 1.288e+02	 1.288e+02	 1.288e+02	 0.000e+00
Sync Densities	 1.513e+02	 1.513e+02	 1.513e+02	 0.000e+00
  Part Merging	 2.401e+01	 2.401e+01	 2.401e+01	 0.000e+00
Part Injection	 7.185e+01	 7.185e+01	 7.185e+01	 0.000e+00
